AAR,BYDEL,ALDER,CIVST,KOEN,PERSONER
2015,1,42,F,1,43
2015,1,42,F,2,41
2015,1,42,G,1,142
2015,1,42,G,2,153
2015,1,42,L,1,1
2015,1,42,O,1,2
2015,1,42,O,2,1
2015,1,42,P,1,8
2015,1,42,P,2,1
2015,1,42,U,1,212
2015,1,42,U,2,154
2015,1,43,E,1,1
2015,1,43,E,2,2
2015,1,43,F,1,37
2015,1,43,F,2,43
2015,1,43,G,1,148
2015,1,43,G,2,167
2015,1,43,O,1,2
2015,1,43,O,2,2
2015,1,43,P,1,6
2015,1,43,P,2,3
2015,1,43,U,1,178
2015,1,43,U,2,135
2015,1,44,E,2,3
2015,1,44,F,1,42
2015,1,44,F,2,61
2015,1,44,G,1,134
2015,1,44,G,2,136
2015,1,44,O,1,3
2015,1,44,P,1,8
2015,1,44,P,2,1
2015,1,44,U,1,138
2015,1,44,U,2,109
2015,1,45,E,1,1
2015,1,45,E,2,3
2015,1,45,F,1,39
2015,1,45,F,2,51
2015,1,45,G,1,148
2015,1,45,G,2,133
2015,1,45,O,1,2
2015,1,45,O,2,1
2015,1,45,P,1,4
2015,1,45,P,2,1
2015,1,45,U,1,144
2015,1,45,U,2,121
2015,1,46,E,1,1
2015,1,46,E,2,2
2015,1,46,F,1,60
2015,1,46,F,2,49
2015,1,46,G,1,131
2015,1,46,G,2,104
2015,1,46,O,1,5
2015,1,46,P,1,7
2015,1,46,P,2,3
2015,1,46,U,1,123
2015,1,46,U,2,124
2015,1,47,E,1,2
2015,1,47,E,2,1
2015,1,47,F,1,51
2015,1,47,F,2,72
2015,1,47,G,1,161
2015,1,47,G,2,153
2015,1,47,O,1,4
2015,1,47,O,2,2
2015,1,47,P,1,11
2015,1,47,P,2,2
2015,1,47,U,1,119
2015,1,47,U,2,124
2015,1,48,E,2,1
2015,1,48,F,1,51
2015,1,48,F,2,69
2015,1,48,G,1,175
2015,1,48,G,2,145
2015,1,48,L,1,1
2015,1,48,O,1,4
2015,1,48,O,2,1
2015,1,48,P,1,7
2015,1,48,P,2,4
2015,1,48,U,1,155
2015,1,48,U,2,126
2015,1,49,E,2,3
2015,1,49,F,1,49
2015,1,49,F,2,60
2015,1,49,G,1,156
2015,1,49,G,2,163
2015,1,49,L,1,1
2015,1,49,O,1,2
2015,1,49,P,1,11
2015,1,49,P,2,4
2015,1,49,U,1,119
2015,1,49,U,2,88
2015,1,50,E,1,1
2015,1,50,E,2,5
2015,1,50,F,1,57
2015,1,50,F,2,65
2015,1,50,G,1,153
2015,1,50,G,2,151
2015,1,50,O,1,4
2015,1,50,O,2,3
2015,1,50,P,1,9
2015,1,50,P,2,2
2015,1,50,U,1,122
2015,1,50,U,2,99
2015,1,51,E,1,3
2015,1,51,E,2,2
2015,1,51,F,1,60
2015,1,51,F,2,62
2015,1,51,G,1,137
2015,1,51,G,2,133
2015,1,51,O,1,4
2015,1,51,O,2,2
2015,1,51,P,1,10
2015,1,51,U,1,114
2015,1,51,U,2,95
2015,1,52,E,1,1
2015,1,52,E,2,4
2015,1,52,F,1,50
2015,1,52,F,2,64
2015,1,52,G,1,153
2015,1,52,G,2,126
2015,1,52,O,1,1
2015,1,52,P,1,9
2015,1,52,P,2,4
2015,1,52,U,1,85
2015,1,52,U,2,90
2015,1,53,E,1,1
2015,1,53,E,2,5
2015,1,53,F,1,47
2015,1,53,F,2,51
2015,1,53,G,1,120
2015,1,53,G,2,107
2015,1,53,L,2,1
2015,1,53,O,1,2
2015,1,53,P,1,6
2015,1,53,P,2,2
2015,1,53,U,1,84
2015,1,53,U,2,77
2015,1,54,E,2,7
2015,1,54,F,1,50
2015,1,54,F,2,49
2015,1,54,G,1,132
2015,1,54,G,2,125
2015,1,54,O,1,1
2015,1,54,O,2,3
2015,1,54,P,1,8
2015,1,54,U,1,86
2015,1,54,U,2,80
2015,1,55,E,1,1
2015,1,55,E,2,8
2015,1,55,F,1,44
2015,1,55,F,2,52
2015,1,55,G,1,109
2015,1,55,G,2,120
2015,1,55,O,1,2
2015,1,55,P,1,4
2015,1,55,P,2,2
2015,1,55,U,1,62
2015,1,55,U,2,73
2015,1,56,E,1,2
2015,1,56,E,2,5
2015,1,56,F,1,54
2015,1,56,F,2,55
2015,1,56,G,1,104
2015,1,56,G,2,121
2015,1,56,O,2,1
2015,1,56,P,1,9
2015,1,56,P,2,2
2015,1,56,U,1,77
2015,1,56,U,2,83
2015,1,57,E,1,2
2015,1,57,E,2,8
2015,1,57,F,1,42
2015,1,57,F,2,58
2015,1,57,G,1,128
2015,1,57,G,2,134
2015,1,57,L,1,4
2015,1,57,O,1,2
2015,1,57,O,2,1
2015,1,57,P,1,3
2015,1,57,U,1,84
2015,1,57,U,2,70
2015,1,58,E,1,2
2015,1,58,E,2,6
2015,1,58,F,1,38
2015,1,58,F,2,53
2015,1,58,G,1,125
2015,1,58,G,2,141
2015,1,58,O,1,1
2015,1,58,O,2,1
2015,1,58,P,1,8
2015,1,58,P,2,1
2015,1,58,U,1,58
2015,1,58,U,2,68
2015,1,59,E,1,4
2015,1,59,E,2,8
2015,1,59,F,1,45
2015,1,59,F,2,53
2015,1,59,G,1,132
2015,1,59,G,2,123
2015,1,59,L,1,2
2015,1,59,O,1,1
2015,1,59,O,2,5
2015,1,59,P,1,5
2015,1,59,P,2,1
2015,1,59,U,1,75
2015,1,59,U,2,69
2015,1,60,E,1,3
2015,1,60,E,2,16
2015,1,60,F,1,45
2015,1,60,F,2,54
2015,1,60,G,1,111
2015,1,60,G,2,125
2015,1,60,L,1,1
2015,1,60,P,1,6
2015,1,60,P,2,1
2015,1,60,U,1,56
2015,1,60,U,2,56
2015,1,61,E,1,3
2015,1,61,E,2,16
2015,1,61,F,1,36
2015,1,61,F,2,72
2015,1,61,G,1,138
2015,1,61,G,2,117
2015,1,61,O,1,1
2015,1,61,O,2,2
2015,1,61,P,1,8
2015,1,61,P,2,2
2015,1,61,U,1,77
2015,1,61,U,2,53
2015,1,62,E,1,3
2015,1,62,E,2,20
2015,1,62,F,1,47
2015,1,62,F,2,48
2015,1,62,G,1,102
2015,1,62,G,2,132
2015,1,62,O,1,2
2015,1,62,O,2,1
2015,1,62,P,1,9
2015,1,62,P,2,1
2015,1,62,U,1,74
2015,1,62,U,2,64
2015,1,63,E,1,2
2015,1,63,E,2,16
2015,1,63,F,1,33
2015,1,63,F,2,61
2015,1,63,G,1,134
2015,1,63,G,2,122
2015,1,63,P,1,7
2015,1,63,P,2,1
2015,1,63,U,1,68
2015,1,63,U,2,54
2015,1,64,E,1,5
2015,1,64,E,2,22
2015,1,64,F,1,57
2015,1,64,F,2,67
2015,1,64,G,1,127
2015,1,64,G,2,126
2015,1,64,L,1,1
2015,1,64,O,1,1
2015,1,64,O,2,2
2015,1,64,P,1,10
2015,1,64,P,2,1
2015,1,64,U,1,58
2015,1,64,U,2,53
2015,1,65,E,1,4
2015,1,65,E,2,26
2015,1,65,F,1,49
2015,1,65,F,2,58
2015,1,65,G,1,152
2015,1,65,G,2,140
2015,1,65,L,1,2
2015,1,65,L,2,1
2015,1,65,O,1,3
2015,1,65,P,1,3
2015,1,65,P,2,1
2015,1,65,U,1,51
2015,1,65,U,2,50
2015,1,66,E,1,9
2015,1,66,E,2,26
2015,1,66,F,1,50
2015,1,66,F,2,72
2015,1,66,G,1,145
2015,1,66,G,2,128
2015,1,66,L,1,2
2015,1,66,P,1,4
2015,1,66,U,1,59
2015,1,66,U,2,58
2015,1,67,E,1,11
2015,1,67,E,2,24
2015,1,67,F,1,40
2015,1,67,F,2,96
2015,1,67,G,1,177
2015,1,67,G,2,146
2015,1,67,P,1,3
2015,1,67,U,1,37
2015,1,67,U,2,47
2015,1,68,E,1,11
2015,1,68,E,2,39
2015,1,68,F,1,60
2015,1,68,F,2,97
2015,1,68,G,1,137
2015,1,68,G,2,156
2015,1,68,L,1,1
2015,1,68,O,1,1
2015,1,68,O,2,1
2015,1,68,P,1,6
2015,1,68,P,2,1
2015,1,68,U,1,51
2015,1,68,U,2,48
2015,1,69,E,1,15
2015,1,69,E,2,40
2015,1,69,F,1,53
2015,1,69,F,2,98
2015,1,69,G,1,141
2015,1,69,G,2,105
2015,1,69,O,1,1
2015,1,69,P,1,5
2015,1,69,P,2,1
2015,1,69,U,1,43
2015,1,69,U,2,57
2015,1,70,E,1,14
2015,1,70,E,2,36
2015,1,70,F,1,44
2015,1,70,F,2,77
2015,1,70,G,1,157
2015,1,70,G,2,132
2015,1,70,L,1,1
2015,1,70,L,2,1
2015,1,70,O,1,4
2015,1,70,P,1,1
2015,1,70,P,2,1
2015,1,70,U,1,35
2015,1,70,U,2,22
2015,1,71,E,1,15
2015,1,71,E,2,43
2015,1,71,F,1,43
2015,1,71,F,2,87
2015,1,71,G,1,126
2015,1,71,G,2,137
2015,1,71,L,1,1
2015,1,71,P,1,6
2015,1,71,P,2,1
2015,1,71,U,1,26
2015,1,71,U,2,32
2015,1,72,E,1,9
2015,1,72,E,2,29
2015,1,72,F,1,40
2015,1,72,F,2,83
2015,1,72,G,1,142
2015,1,72,G,2,121
2015,1,72,L,1,4
2015,1,72,P,1,2
2015,1,72,P,2,1
2015,1,72,U,1,26
2015,1,72,U,2,27
2015,1,73,E,1,8
2015,1,73,E,2,29
2015,1,73,F,1,26
2015,1,73,F,2,64
2015,1,73,G,1,90
2015,1,73,G,2,75
2015,1,73,P,1,2
2015,1,73,P,2,1
2015,1,73,U,1,21
2015,1,73,U,2,22
2015,1,74,E,1,11
2015,1,74,E,2,36
2015,1,74,F,1,30
2015,1,74,F,2,59
2015,1,74,G,1,87
2015,1,74,G,2,64
2015,1,74,O,1,1
2015,1,74,P,1,3
2015,1,74,U,1,18
2015,1,74,U,2,13
2015,1,75,E,1,11
2015,1,75,E,2,33
2015,1,75,F,1,28
2015,1,75,F,2,49
2015,1,75,G,1,92
2015,1,75,G,2,58
2015,1,75,P,1,1
2015,1,75,U,1,13
2015,1,75,U,2,16
2015,1,76,E,1,10
2015,1,76,E,2,42
2015,1,76,F,1,22
2015,1,76,F,2,45
2015,1,76,G,1,63
2015,1,76,G,2,42
2015,1,76,L,1,1
2015,1,76,U,1,11
2015,1,76,U,2,10
2015,1,77,E,1,8
2015,1,77,E,2,39
2015,1,77,F,1,17
2015,1,77,F,2,30
2015,1,77,G,1,48
2015,1,77,G,2,36
2015,1,77,P,1,2
2015,1,77,U,1,10
2015,1,77,U,2,15
2015,1,78,E,1,5
2015,1,78,E,2,37
2015,1,78,F,1,21
2015,1,78,F,2,31
2015,1,78,G,1,61
2015,1,78,G,2,37
2015,1,78,P,1,4
2015,1,78,U,1,7
2015,1,78,U,2,13
2015,1,79,E,1,6
2015,1,79,E,2,33
2015,1,79,F,1,16
2015,1,79,F,2,31
2015,1,79,G,1,38
2015,1,79,G,2,28
2015,1,79,O,1,1
2015,1,79,P,1,2
2015,1,79,U,1,5
2015,1,79,U,2,8
2015,1,80,E,1,13
2015,1,80,E,2,28
2015,1,80,F,1,7
2015,1,80,F,2,25
2015,1,80,G,1,34
2015,1,80,G,2,21
2015,1,80,P,1,1
2015,1,80,P,2,1
2015,1,80,U,1,8
2015,1,80,U,2,9
2015,1,81,E,1,9
2015,1,81,E,2,36
2015,1,81,F,1,11
2015,1,81,F,2,21
2015,1,81,G,1,28
2015,1,81,G,2,17
2015,1,81,L,1,1
2015,1,81,U,1,5
2015,1,81,U,2,8
2015,1,82,E,1,13
2015,1,82,E,2,34
2015,1,82,F,1,6
2015,1,82,F,2,15
2015,1,82,G,1,24
2015,1,82,G,2,17
2015,1,82,U,1,3
2015,1,82,U,2,9
2015,1,83,E,1,8
2015,1,83,E,2,30
2015,1,83,F,1,12
2015,1,83,F,2,17
2015,1,83,G,1,29
2015,1,83,G,2,12
2015,1,83,U,1,5
2015,1,83,U,2,7
2015,1,84,E,1,8
2015,1,84,E,2,23
2015,1,84,F,1,8
2015,1,84,F,2,16
2015,1,84,G,1,20
2015,1,84,G,2,5
2015,1,84,U,1,1
2015,1,84,U,2,3
2015,1,85,E,1,11
2015,1,85,E,2,27
2015,1,85,F,1,3
2015,1,85,F,2,20
